Subject,Body,Text,label
Team meeting tomorrow at 10am,"Dear team, this is a reminder to submit your timesheet by end of day Friday. If you have any issues accessing the system please contact HR. Thank you for your cooperation.","Team meeting tomorrow at 10am Dear team, this is a reminder to submit your timesheet by end of day Friday. If you have any issues accessing the system please contact HR. Thank you for your cooperation.",0
Verify your account immediately,"Dear beneficiary, I am contacting you regarding a business proposal of $10.5 million dollars which I need your assistance to transfer. Reply with your full name and account details.","Verify your account immediately Dear beneficiary, I am contacting you regarding a business proposal of $10.5 million dollars which I need your assistance to transfer. Reply with your full name and account details. ",1
Reminder: Annual leave request,"Hello, I wanted to follow up on the project status. We are on track for the deadline next week. The development team has completed the main features and testing is ongoing. Best regards.","Reminder: Annual leave request Hello, I wanted to follow up on the project status. We are on track for the deadline next week. The development team has completed the main features and testing is ongoing. Best regards.",0
Exclusive offer - $500 cash reward for you,"Dear Customer, We have detected suspicious activity on your account. Please click the link below immediately to verify your identity or your account will be suspended within 24 hours. Click here: http://secure-login-verify.xyz/update","Exclusive offer - $500 cash reward for you Dear Customer, We have detected suspicious activity on your account. Please click the link below immediately to verify your identity or your account will be suspended within 24 hours. Click here: http://secure-login-verify.xyz/update VERIFY NOW",1
Your order has been shipped,"Dear customer, thank you for subscribing to our service. Your account has been successfully created. You can now login and start using all features. Feel free to contact support if needed.","Your order has been shipped Dear customer, thank you for subscribing to our service. Your account has been successfully created. You can now login and start using all features. Feel free to contact support if needed.",0
Meeting notes from yesterday,"Hi Sarah, thank you for your email. I have reviewed the proposal and it looks great. I have a few minor suggestions which I will share in our meeting on Thursday. Looking forward to it.","Meeting notes from yesterday Hi Sarah, thank you for your email. I have reviewed the proposal and it looks great. I have a few minor suggestions which I will share in our meeting on Thursday. Looking forward to it.",0
Exclusive offer - $500 cash reward for you,Dear friend I am a Nigerian prince with $15 million USD that I need to transfer urgently. I need your bank details to complete this transaction and you will receive 30 percent commission.,Exclusive offer - $500 cash reward for you Dear friend I am a Nigerian prince with $15 million USD that I need to transfer urgently. I need your bank details to complete this transaction and you will receive 30 percent commission. ,1
"Congratulations! You won $1,000,000",Hello dear we are pleased to inform you that your email address has won ONE MILLION DOLLARS in our online lottery. Send us $100 processing fee to claim your winning prize.,"Congratulations! You won $1,000,000 Hello dear we are pleased to inform you that your email address has won ONE MILLION DOLLARS in our online lottery. Send us $100 processing fee to claim your winning prize. URGENT!!!",1
Monthly report attached,"Hello, please find attached the monthly financial report for your review. Let me know if you have any questions or need additional information. Thanks and have a great day.","Monthly report attached Hello, please find attached the monthly financial report for your review. Let me know if you have any questions or need additional information. Thanks and have a great day.",0
"Congratulations! You won $1,000,000",Dear friend I am a Nigerian prince with $15 million USD that I need to transfer urgently. I need your bank details to complete this transaction and you will receive 30 percent commission.,"Congratulations! You won $1,000,000 Dear friend I am a Nigerian prince with $15 million USD that I need to transfer urgently. I need your bank details to complete this transaction and you will receive 30 percent commission. ACT NOW!!!",1
Re: Follow up from last call,"Hi, your order #12345 has been shipped and is on its way. Expected delivery is 3-5 business days. You can track your package using the tracking number provided. Thank you for your purchase.","Re: Follow up from last call Hi, your order #12345 has been shipped and is on its way. Expected delivery is 3-5 business days. You can track your package using the tracking number provided. Thank you for your purchase.",0
Team meeting tomorrow at 10am,"Hi team, just a quick reminder that we have our weekly standup tomorrow at 9am. Please make sure to update your tasks in Jira before the meeting. See you all then. Best regards.","Team meeting tomorrow at 10am Hi team, just a quick reminder that we have our weekly standup tomorrow at 9am. Please make sure to update your tasks in Jira before the meeting. See you all then. Best regards.",0
Exclusive offer - $500 cash reward for you,Your PayPal account has been limited. You must verify your information NOW to restore access. Failure to act within 24 hours will result in permanent suspension. Click here to verify.,Exclusive offer - $500 cash reward for you Your PayPal account has been limited. You must verify your information NOW to restore access. Failure to act within 24 hours will result in permanent suspension. Click here to verify. FREE MONEY,1
Meeting notes from yesterday,"Hi team, just a quick reminder that we have our weekly standup tomorrow at 9am. Please make sure to update your tasks in Jira before the meeting. See you all then. Best regards.","Meeting notes from yesterday Hi team, just a quick reminder that we have our weekly standup tomorrow at 9am. Please make sure to update your tasks in Jira before the meeting. See you all then. Best regards.",0
Your subscription has been renewed,"Hi John, following up on our call last week regarding the Q3 budget review. Could we schedule another meeting to finalize the numbers? Let me know your availability. Thanks.","Your subscription has been renewed Hi John, following up on our call last week regarding the Q3 budget review. Could we schedule another meeting to finalize the numbers? Let me know your availability. Thanks.",0
Meeting notes from yesterday,Your annual subscription has been renewed successfully. Your next billing date is January 1 2026. You can manage your subscription settings in your account dashboard. Thank you.,Meeting notes from yesterday Your annual subscription has been renewed successfully. Your next billing date is January 1 2026. You can manage your subscription settings in your account dashboard. Thank you.,0
Project update - Sprint review,"Hi John, following up on our call last week regarding the Q3 budget review. Could we schedule another meeting to finalize the numbers? Let me know your availability. Thanks.","Project update - Sprint review Hi John, following up on our call last week regarding the Q3 budget review. Could we schedule another meeting to finalize the numbers? Let me know your availability. Thanks.",0
FREE iPhone 15 - Click to claim your prize,ACT NOW!!! Limited time offer expires in 24 hours!!! Get FREE money $$$ just click and verify your account details. 100 percent guaranteed no risk!!!,FREE iPhone 15 - Click to claim your prize ACT NOW!!! Limited time offer expires in 24 hours!!! Get FREE money $$$ just click and verify your account details. 100 percent guaranteed no risk!!! URGENT!!!,1
Invoice for services rendered,"Hi team, just a quick reminder that we have our weekly standup tomorrow at 9am. Please make sure to update your tasks in Jira before the meeting. See you all then. Best regards.","Invoice for services rendered Hi team, just a quick reminder that we have our weekly standup tomorrow at 9am. Please make sure to update your tasks in Jira before the meeting. See you all then. Best regards.",0
URGENT: Your account has been compromised,Your credit card has been charged $299. If you did not authorize this transaction click the link immediately to cancel and get refund. Verify your account now http://refund-now.xyz,URGENT: Your account has been compromised Your credit card has been charged $299. If you did not authorize this transaction click the link immediately to cancel and get refund. Verify your account now http://refund-now.xyz VERIFY NOW,1
Project update - Sprint review,"Hi John, following up on our call last week regarding the Q3 budget review. Could we schedule another meeting to finalize the numbers? Let me know your availability. Thanks.","Project update - Sprint review Hi John, following up on our call last week regarding the Q3 budget review. Could we schedule another meeting to finalize the numbers? Let me know your availability. Thanks.",0
Meeting notes from yesterday,"Hello, I wanted to follow up on the project status. We are on track for the deadline next week. The development team has completed the main features and testing is ongoing. Best regards.","Meeting notes from yesterday Hello, I wanted to follow up on the project status. We are on track for the deadline next week. The development team has completed the main features and testing is ongoing. Best regards.",0
Team meeting tomorrow at 10am,"Hi John, following up on our call last week regarding the Q3 budget review. Could we schedule another meeting to finalize the numbers? Let me know your availability. Thanks.","Team meeting tomorrow at 10am Hi John, following up on our call last week regarding the Q3 budget review. Could we schedule another meeting to finalize the numbers? Let me know your availability. Thanks.",0
Your subscription has been renewed,"Good morning everyone, attached are the notes from yesterday sprint retrospective meeting. Action items have been assigned and are due by Friday. Please review and confirm receipt.","Your subscription has been renewed Good morning everyone, attached are the notes from yesterday sprint retrospective meeting. Action items have been assigned and are due by Friday. Please review and confirm receipt.",0
Invoice for services rendered,"Hi team, just a quick reminder that we have our weekly standup tomorrow at 9am. Please make sure to update your tasks in Jira before the meeting. See you all then. Best regards.","Invoice for services rendered Hi team, just a quick reminder that we have our weekly standup tomorrow at 9am. Please make sure to update your tasks in Jira before the meeting. See you all then. Best regards.",0
Re: Follow up from last call,"Hello, I wanted to follow up on the project status. We are on track for the deadline next week. The development team has completed the main features and testing is ongoing. Best regards.","Re: Follow up from last call Hello, I wanted to follow up on the project status. We are on track for the deadline next week. The development team has completed the main features and testing is ongoing. Best regards.",0
Monthly report attached,"Hi team, just a quick reminder that we have our weekly standup tomorrow at 9am. Please make sure to update your tasks in Jira before the meeting. See you all then. Best regards.","Monthly report attached Hi team, just a quick reminder that we have our weekly standup tomorrow at 9am. Please make sure to update your tasks in Jira before the meeting. See you all then. Best regards.",0
Meeting notes from yesterday,"Good morning everyone, attached are the notes from yesterday sprint retrospective meeting. Action items have been assigned and are due by Friday. Please review and confirm receipt.","Meeting notes from yesterday Good morning everyone, attached are the notes from yesterday sprint retrospective meeting. Action items have been assigned and are due by Friday. Please review and confirm receipt.",0
Exclusive offer - $500 cash reward for you,Hello dear we are pleased to inform you that your email address has won ONE MILLION DOLLARS in our online lottery. Send us $100 processing fee to claim your winning prize.,Exclusive offer - $500 cash reward for you Hello dear we are pleased to inform you that your email address has won ONE MILLION DOLLARS in our online lottery. Send us $100 processing fee to claim your winning prize. ,1
"Congratulations! You won $1,000,000","CONGRATULATIONS!!! You have been selected as our lucky winner. To claim your $1,000,000 prize send your full name bank account number and social security number to our claims office immediately!!!","Congratulations! You won $1,000,000 CONGRATULATIONS!!! You have been selected as our lucky winner. To claim your $1,000,000 prize send your full name bank account number and social security number to our claims office immediately!!! VERIFY NOW",1
URGENT: Your account has been compromised,Dear friend I am a Nigerian prince with $15 million USD that I need to transfer urgently. I need your bank details to complete this transaction and you will receive 30 percent commission.,URGENT: Your account has been compromised Dear friend I am a Nigerian prince with $15 million USD that I need to transfer urgently. I need your bank details to complete this transaction and you will receive 30 percent commission. ACT NOW!!!,1
Welcome to our service,"Dear customer, thank you for subscribing to our service. Your account has been successfully created. You can now login and start using all features. Feel free to contact support if needed.","Welcome to our service Dear customer, thank you for subscribing to our service. Your account has been successfully created. You can now login and start using all features. Feel free to contact support if needed.",0
Your account will be suspended - Update now,Your PayPal account has been limited. You must verify your information NOW to restore access. Failure to act within 24 hours will result in permanent suspension. Click here to verify.,Your account will be suspended - Update now Your PayPal account has been limited. You must verify your information NOW to restore access. Failure to act within 24 hours will result in permanent suspension. Click here to verify. VERIFY NOW,1
Project update - Sprint review,"Hello, please find attached the monthly financial report for your review. Let me know if you have any questions or need additional information. Thanks and have a great day.","Project update - Sprint review Hello, please find attached the monthly financial report for your review. Let me know if you have any questions or need additional information. Thanks and have a great day.",0
Team meeting tomorrow at 10am,Your annual subscription has been renewed successfully. Your next billing date is January 1 2026. You can manage your subscription settings in your account dashboard. Thank you.,Team meeting tomorrow at 10am Your annual subscription has been renewed successfully. Your next billing date is January 1 2026. You can manage your subscription settings in your account dashboard. Thank you.,0
FREE iPhone 15 - Click to claim your prize,URGENT NOTICE: Your bank account shows suspicious login from foreign country. Immediate action required. Send your PIN and password to security@bank-update.xyz to secure your account.,FREE iPhone 15 - Click to claim your prize URGENT NOTICE: Your bank account shows suspicious login from foreign country. Immediate action required. Send your PIN and password to security@bank-update.xyz to secure your account. ACT NOW!!!,1
Re: Follow up from last call,"Dear team, this is a reminder to submit your timesheet by end of day Friday. If you have any issues accessing the system please contact HR. Thank you for your cooperation.","Re: Follow up from last call Dear team, this is a reminder to submit your timesheet by end of day Friday. If you have any issues accessing the system please contact HR. Thank you for your cooperation.",0
Invoice for services rendered,"Dear team, this is a reminder to submit your timesheet by end of day Friday. If you have any issues accessing the system please contact HR. Thank you for your cooperation.","Invoice for services rendered Dear team, this is a reminder to submit your timesheet by end of day Friday. If you have any issues accessing the system please contact HR. Thank you for your cooperation.",0
Monthly report attached,Your annual subscription has been renewed successfully. Your next billing date is January 1 2026. You can manage your subscription settings in your account dashboard. Thank you.,Monthly report attached Your annual subscription has been renewed successfully. Your next billing date is January 1 2026. You can manage your subscription settings in your account dashboard. Thank you.,0
Project update - Sprint review,"Hi, your order #12345 has been shipped and is on its way. Expected delivery is 3-5 business days. You can track your package using the tracking number provided. Thank you for your purchase.","Project update - Sprint review Hi, your order #12345 has been shipped and is on its way. Expected delivery is 3-5 business days. You can track your package using the tracking number provided. Thank you for your purchase.",0
Reminder: Annual leave request,"Hi John, following up on our call last week regarding the Q3 budget review. Could we schedule another meeting to finalize the numbers? Let me know your availability. Thanks.","Reminder: Annual leave request Hi John, following up on our call last week regarding the Q3 budget review. Could we schedule another meeting to finalize the numbers? Let me know your availability. Thanks.",0
Your order has been shipped,"Good morning everyone, attached are the notes from yesterday sprint retrospective meeting. Action items have been assigned and are due by Friday. Please review and confirm receipt.","Your order has been shipped Good morning everyone, attached are the notes from yesterday sprint retrospective meeting. Action items have been assigned and are due by Friday. Please review and confirm receipt.",0
Alert: Unusual activity detected on your account,URGENT NOTICE: Your bank account shows suspicious login from foreign country. Immediate action required. Send your PIN and password to security@bank-update.xyz to secure your account.,Alert: Unusual activity detected on your account URGENT NOTICE: Your bank account shows suspicious login from foreign country. Immediate action required. Send your PIN and password to security@bank-update.xyz to secure your account. CLICK NOW,1
Project update - Sprint review,"Dear customer, thank you for subscribing to our service. Your account has been successfully created. You can now login and start using all features. Feel free to contact support if needed.","Project update - Sprint review Dear customer, thank you for subscribing to our service. Your account has been successfully created. You can now login and start using all features. Feel free to contact support if needed.",0
Reminder: Annual leave request,"Dear customer, thank you for subscribing to our service. Your account has been successfully created. You can now login and start using all features. Feel free to contact support if needed.","Reminder: Annual leave request Dear customer, thank you for subscribing to our service. Your account has been successfully created. You can now login and start using all features. Feel free to contact support if needed.",0
WINNER WINNER - Lottery Results Inside,Hello dear we are pleased to inform you that your email address has won ONE MILLION DOLLARS in our online lottery. Send us $100 processing fee to claim your winning prize.,WINNER WINNER - Lottery Results Inside Hello dear we are pleased to inform you that your email address has won ONE MILLION DOLLARS in our online lottery. Send us $100 processing fee to claim your winning prize. VERIFY NOW,1
Reminder: Annual leave request,"Hello, I wanted to follow up on the project status. We are on track for the deadline next week. The development team has completed the main features and testing is ongoing. Best regards.","Reminder: Annual leave request Hello, I wanted to follow up on the project status. We are on track for the deadline next week. The development team has completed the main features and testing is ongoing. Best regards.",0
Team meeting tomorrow at 10am,"Hello, please find attached the monthly financial report for your review. Let me know if you have any questions or need additional information. Thanks and have a great day.","Team meeting tomorrow at 10am Hello, please find attached the monthly financial report for your review. Let me know if you have any questions or need additional information. Thanks and have a great day.",0
Monthly report attached,"Hello, I wanted to follow up on the project status. We are on track for the deadline next week. The development team has completed the main features and testing is ongoing. Best regards.","Monthly report attached Hello, I wanted to follow up on the project status. We are on track for the deadline next week. The development team has completed the main features and testing is ongoing. Best regards.",0
Your subscription has been renewed,"Hi, your order #12345 has been shipped and is on its way. Expected delivery is 3-5 business days. You can track your package using the tracking number provided. Thank you for your purchase.","Your subscription has been renewed Hi, your order #12345 has been shipped and is on its way. Expected delivery is 3-5 business days. You can track your package using the tracking number provided. Thank you for your purchase.",0
Your subscription has been renewed,"Hello, please find attached the monthly financial report for your review. Let me know if you have any questions or need additional information. Thanks and have a great day.","Your subscription has been renewed Hello, please find attached the monthly financial report for your review. Let me know if you have any questions or need additional information. Thanks and have a great day.",0
Meeting notes from yesterday,"Dear team, this is a reminder to submit your timesheet by end of day Friday. If you have any issues accessing the system please contact HR. Thank you for your cooperation.","Meeting notes from yesterday Dear team, this is a reminder to submit your timesheet by end of day Friday. If you have any issues accessing the system please contact HR. Thank you for your cooperation.",0
Invoice for services rendered,"Hello, I wanted to follow up on the project status. We are on track for the deadline next week. The development team has completed the main features and testing is ongoing. Best regards.","Invoice for services rendered Hello, I wanted to follow up on the project status. We are on track for the deadline next week. The development team has completed the main features and testing is ongoing. Best regards.",0
Final notice: Confirm your bank details,"CONGRATULATIONS!!! You have been selected as our lucky winner. To claim your $1,000,000 prize send your full name bank account number and social security number to our claims office immediately!!!","Final notice: Confirm your bank details CONGRATULATIONS!!! You have been selected as our lucky winner. To claim your $1,000,000 prize send your full name bank account number and social security number to our claims office immediately!!! VERIFY NOW",1
Reminder: Annual leave request,"Hello, I wanted to follow up on the project status. We are on track for the deadline next week. The development team has completed the main features and testing is ongoing. Best regards.","Reminder: Annual leave request Hello, I wanted to follow up on the project status. We are on track for the deadline next week. The development team has completed the main features and testing is ongoing. Best regards.",0
Your account will be suspended - Update now,Hello dear we are pleased to inform you that your email address has won ONE MILLION DOLLARS in our online lottery. Send us $100 processing fee to claim your winning prize.,Your account will be suspended - Update now Hello dear we are pleased to inform you that your email address has won ONE MILLION DOLLARS in our online lottery. Send us $100 processing fee to claim your winning prize. VERIFY NOW,1
FREE iPhone 15 - Click to claim your prize,"CONGRATULATIONS!!! You have been selected as our lucky winner. To claim your $1,000,000 prize send your full name bank account number and social security number to our claims office immediately!!!","FREE iPhone 15 - Click to claim your prize CONGRATULATIONS!!! You have been selected as our lucky winner. To claim your $1,000,000 prize send your full name bank account number and social security number to our claims office immediately!!! CLICK NOW",1
Alert: Unusual activity detected on your account,Dear friend I am a Nigerian prince with $15 million USD that I need to transfer urgently. I need your bank details to complete this transaction and you will receive 30 percent commission.,Alert: Unusual activity detected on your account Dear friend I am a Nigerian prince with $15 million USD that I need to transfer urgently. I need your bank details to complete this transaction and you will receive 30 percent commission. CLICK NOW,1
"Congratulations! You won $1,000,000",Hello dear we are pleased to inform you that your email address has won ONE MILLION DOLLARS in our online lottery. Send us $100 processing fee to claim your winning prize.,"Congratulations! You won $1,000,000 Hello dear we are pleased to inform you that your email address has won ONE MILLION DOLLARS in our online lottery. Send us $100 processing fee to claim your winning prize. ",1
Final notice: Confirm your bank details,URGENT NOTICE: Your bank account shows suspicious login from foreign country. Immediate action required. Send your PIN and password to security@bank-update.xyz to secure your account.,Final notice: Confirm your bank details URGENT NOTICE: Your bank account shows suspicious login from foreign country. Immediate action required. Send your PIN and password to security@bank-update.xyz to secure your account. $$$,1
Your order has been shipped,"Hello, please find attached the monthly financial report for your review. Let me know if you have any questions or need additional information. Thanks and have a great day.","Your order has been shipped Hello, please find attached the monthly financial report for your review. Let me know if you have any questions or need additional information. Thanks and have a great day.",0
Invoice for services rendered,"Hi, your order #12345 has been shipped and is on its way. Expected delivery is 3-5 business days. You can track your package using the tracking number provided. Thank you for your purchase.","Invoice for services rendered Hi, your order #12345 has been shipped and is on its way. Expected delivery is 3-5 business days. You can track your package using the tracking number provided. Thank you for your purchase.",0
Your subscription has been renewed,"Dear customer, thank you for subscribing to our service. Your account has been successfully created. You can now login and start using all features. Feel free to contact support if needed.","Your subscription has been renewed Dear customer, thank you for subscribing to our service. Your account has been successfully created. You can now login and start using all features. Feel free to contact support if needed.",0
FREE iPhone 15 - Click to claim your prize,ACT NOW!!! Limited time offer expires in 24 hours!!! Get FREE money $$$ just click and verify your account details. 100 percent guaranteed no risk!!!,FREE iPhone 15 - Click to claim your prize ACT NOW!!! Limited time offer expires in 24 hours!!! Get FREE money $$$ just click and verify your account details. 100 percent guaranteed no risk!!! $$$,1
Verify your account immediately,"Dear Customer, We have detected suspicious activity on your account. Please click the link below immediately to verify your identity or your account will be suspended within 24 hours. Click here: http://secure-login-verify.xyz/update","Verify your account immediately Dear Customer, We have detected suspicious activity on your account. Please click the link below immediately to verify your identity or your account will be suspended within 24 hours. Click here: http://secure-login-verify.xyz/update FREE MONEY",1
Your order has been shipped,"Dear customer, thank you for subscribing to our service. Your account has been successfully created. You can now login and start using all features. Feel free to contact support if needed.","Your order has been shipped Dear customer, thank you for subscribing to our service. Your account has been successfully created. You can now login and start using all features. Feel free to contact support if needed.",0
Meeting notes from yesterday,"Dear team, this is a reminder to submit your timesheet by end of day Friday. If you have any issues accessing the system please contact HR. Thank you for your cooperation.","Meeting notes from yesterday Dear team, this is a reminder to submit your timesheet by end of day Friday. If you have any issues accessing the system please contact HR. Thank you for your cooperation.",0
URGENT: Your account has been compromised,Hello dear we are pleased to inform you that your email address has won ONE MILLION DOLLARS in our online lottery. Send us $100 processing fee to claim your winning prize.,URGENT: Your account has been compromised Hello dear we are pleased to inform you that your email address has won ONE MILLION DOLLARS in our online lottery. Send us $100 processing fee to claim your winning prize. URGENT!!!,1
Team meeting tomorrow at 10am,"Hi John, following up on our call last week regarding the Q3 budget review. Could we schedule another meeting to finalize the numbers? Let me know your availability. Thanks.","Team meeting tomorrow at 10am Hi John, following up on our call last week regarding the Q3 budget review. Could we schedule another meeting to finalize the numbers? Let me know your availability. Thanks.",0
"Congratulations! You won $1,000,000","Dear beneficiary, I am contacting you regarding a business proposal of $10.5 million dollars which I need your assistance to transfer. Reply with your full name and account details.","Congratulations! You won $1,000,000 Dear beneficiary, I am contacting you regarding a business proposal of $10.5 million dollars which I need your assistance to transfer. Reply with your full name and account details. FREE MONEY",1
Team meeting tomorrow at 10am,Your annual subscription has been renewed successfully. Your next billing date is January 1 2026. You can manage your subscription settings in your account dashboard. Thank you.,Team meeting tomorrow at 10am Your annual subscription has been renewed successfully. Your next billing date is January 1 2026. You can manage your subscription settings in your account dashboard. Thank you.,0
Team meeting tomorrow at 10am,"Hello, I wanted to follow up on the project status. We are on track for the deadline next week. The development team has completed the main features and testing is ongoing. Best regards.","Team meeting tomorrow at 10am Hello, I wanted to follow up on the project status. We are on track for the deadline next week. The development team has completed the main features and testing is ongoing. Best regards.",0
Your order has been shipped,"Hello, please find attached the monthly financial report for your review. Let me know if you have any questions or need additional information. Thanks and have a great day.","Your order has been shipped Hello, please find attached the monthly financial report for your review. Let me know if you have any questions or need additional information. Thanks and have a great day.",0
Alert: Unusual activity detected on your account,WIN WIN WIN!!! You are the lucky selected winner of our monthly draw. Claim your prize of $50000 today by sending your personal details and a small processing fee of $50.,Alert: Unusual activity detected on your account WIN WIN WIN!!! You are the lucky selected winner of our monthly draw. Claim your prize of $50000 today by sending your personal details and a small processing fee of $50. $$$,1
"Congratulations! You won $1,000,000",Your credit card has been charged $299. If you did not authorize this transaction click the link immediately to cancel and get refund. Verify your account now http://refund-now.xyz,"Congratulations! You won $1,000,000 Your credit card has been charged $299. If you did not authorize this transaction click the link immediately to cancel and get refund. Verify your account now http://refund-now.xyz CLICK NOW",1
Your subscription has been renewed,"Hi team, just a quick reminder that we have our weekly standup tomorrow at 9am. Please make sure to update your tasks in Jira before the meeting. See you all then. Best regards.","Your subscription has been renewed Hi team, just a quick reminder that we have our weekly standup tomorrow at 9am. Please make sure to update your tasks in Jira before the meeting. See you all then. Best regards.",0
Verify your account immediately,Dear friend I am a Nigerian prince with $15 million USD that I need to transfer urgently. I need your bank details to complete this transaction and you will receive 30 percent commission.,Verify your account immediately Dear friend I am a Nigerian prince with $15 million USD that I need to transfer urgently. I need your bank details to complete this transaction and you will receive 30 percent commission. CLICK NOW,1
FREE iPhone 15 - Click to claim your prize,Dear friend I am a Nigerian prince with $15 million USD that I need to transfer urgently. I need your bank details to complete this transaction and you will receive 30 percent commission.,FREE iPhone 15 - Click to claim your prize Dear friend I am a Nigerian prince with $15 million USD that I need to transfer urgently. I need your bank details to complete this transaction and you will receive 30 percent commission. $$$,1
Your subscription has been renewed,"Hi, your order #12345 has been shipped and is on its way. Expected delivery is 3-5 business days. You can track your package using the tracking number provided. Thank you for your purchase.","Your subscription has been renewed Hi, your order #12345 has been shipped and is on its way. Expected delivery is 3-5 business days. You can track your package using the tracking number provided. Thank you for your purchase.",0
FREE iPhone 15 - Click to claim your prize,WIN WIN WIN!!! You are the lucky selected winner of our monthly draw. Claim your prize of $50000 today by sending your personal details and a small processing fee of $50.,FREE iPhone 15 - Click to claim your prize WIN WIN WIN!!! You are the lucky selected winner of our monthly draw. Claim your prize of $50000 today by sending your personal details and a small processing fee of $50. ACT NOW!!!,1
Alert: Unusual activity detected on your account,Dear friend I am a Nigerian prince with $15 million USD that I need to transfer urgently. I need your bank details to complete this transaction and you will receive 30 percent commission.,Alert: Unusual activity detected on your account Dear friend I am a Nigerian prince with $15 million USD that I need to transfer urgently. I need your bank details to complete this transaction and you will receive 30 percent commission. ,1
